,STD_YM,TIME,A_MAX
231,2019-04,15,811611
232,2019-04,16,810669
233,2019-04,17,806135
234,2019-04,18,795301
235,2019-04,19,771315
236,2019-04,20,758024
237,2019-04,21,742828
238,2019-04,22,727499
239,2019-04,23,716775
240,2019-05,0,695727
241,2019-05,1,688006
242,2019-05,2,682709
243,2019-05,3,678068
244,2019-05,4,674445
245,2019-05,5,669052
246,2019-05,6,668401
247,2019-05,7,678877
248,2019-05,8,716863
249,2019-05,9,741638
250,2019-05,10,762390
251,2019-05,11,771830
252,2019-05,12,784407
253,2019-05,13,797077
254,2019-05,14,809242
255,2019-05,15,806617
256,2019-05,16,805177
257,2019-05,17,801995
258,2019-05,18,791460
259,2019-05,19,777069
260,2019-05,20,764691
261,2019-05,21,748690
262,2019-05,22,722892
263,2019-05,23,702677
264,2019-06,0,698757
265,2019-06,1,692587
266,2019-06,2,687327
267,2019-06,3,682830
268,2019-06,4,676543
269,2019-06,5,670872
270,2019-06,6,671455
271,2019-06,7,683668
272,2019-06,8,720833
273,2019-06,9,743244
274,2019-06,10,763868
275,2019-06,11,775221
276,2019-06,12,792156
277,2019-06,13,807029
278,2019-06,14,816733
279,2019-06,15,812692
280,2019-06,16,809379
281,2019-06,17,800663
282,2019-06,18,786437
283,2019-06,19,766521
284,2019-06,20,754098
285,2019-06,21,736526
286,2019-06,22,719032
287,2019-06,23,705062
