INDEX_ID,A_MAX
마라21aa73ab,3
마라21aa73ba,118
마라21aa73bb,30
마라21aa74aa,0
마라21aa74ab,0
마라21aa74ba,0
마라21aa75ab,84
마라21aa75ba,76
마라21aa75bb,51
마라21aa76ba,91
마라21aa76bb,85
마라21aa77aa,83
마라21aa77ab,85
마라21aa77ba,69
마라21aa77bb,21
마라21aa78aa,87
마라21aa78ab,99
마라21aa78ba,149
마라21aa78bb,218
마라21aa79aa,95
마라21aa79ab,23
마라21aa83ba,6
마라21aa83bb,11
마라21aa84aa,152
마라21aa84ab,207
마라21aa84ba,380
마라21aa84bb,104
마라21aa85aa,0
마라21ab66bb,78
마라21ab67aa,76
마라21ab67ab,4
마라21ab67ba,1
마라21ab68ab,0
마라21ab68ba,1
마라21ab69aa,4
마라21ab69ab,27
마라21ab69ba,3
마라21ab69bb,0
마라21ab70ba,0
마라21ab71ab,0
마라21ab71ba,0
마라21ab72ab,0
마라21ab72ba,0
마라21ab72bb,1
마라21ab73aa,0
마라21ab73ab,87
마라21ab73ba,109
마라21ab73bb,333
마라21ab74aa,24
마라21ab74ab,9
마라21ab74ba,4
마라21ab74bb,0
마라21ab75aa,3
마라21ab75ab,110
마라21ab75ba,111
마라21ab75bb,62
마라21ab76aa,22
마라21ab76ab,28
마라21ab76ba,79
마라21ab76bb,127
마라21ab77aa,106
마라21ab77ab,78
마라21ab77ba,91
마라21ab77bb,193
마라21ab78aa,89
마라21ab78ab,140
마라21ab78ba,176
마라21ab78bb,148
마라21ab79aa,130
마라21ab79ab,46
마라21ab83ab,0
마라21ab83ba,2
마라21ab83bb,2
마라21ab84aa,19
마라21ab84ab,53
마라21ab84ba,641
마라21ab84bb,391
마라21ab85aa,32
마라21ab85ab,34
마라21ba67ab,2
마라21ba67ba,1
마라21ba68ab,1
마라21ba69ab,0
마라21ba69ba,35
마라21ba69bb,15
마라21ba70aa,2
마라21ba70bb,0
마라21ba71ab,0
마라21ba73ba,0
마라21ba73bb,15
마라21ba74aa,22
마라21ba74ab,1
마라21ba74ba,0
마라21ba74bb,17
마라21ba75aa,154
마라21ba75ab,275
마라21ba75ba,104
마라21ba75bb,38
마라21ba76aa,27
마라21ba76ab,60
마라21ba76ba,174
마라21ba76bb,288
마라21ba77aa,213
마라21ba77ab,140
마라21ba77ba,7
마라21ba77bb,57
마라21ba78aa,89
마라21ba78ab,142
마라21ba78ba,79
마라21ba78bb,132
마라21ba79aa,136
마라21ba79ab,66
마라21ba83aa,5
마라21ba83ab,4
마라21ba83ba,16
마라21ba84aa,0
마라21ba84ab,9
마라21ba84ba,595
마라21ba84bb,334
마라21ba85aa,68
마라21ba85ab,60
마라21ba85ba,1
마라21bb68bb,0
마라21bb69ab,1
마라21bb69ba,12
마라21bb69bb,10
마라21bb70aa,0
마라21bb72bb,0
마라21bb73ab,0
마라21bb73ba,1
마라21bb73bb,1
마라21bb74aa,0
마라21bb75aa,0
마라21bb75ab,7
마라21bb75ba,4
마라21bb75bb,6
마라21bb76aa,5
마라21bb76ab,4
마라21bb77aa,325
마라21bb77ab,501
마라21bb77ba,216
마라21bb77bb,183
마라21bb78aa,195
마라21bb78ab,95
마라21bb78ba,88
마라21bb78bb,183
마라21bb79aa,131
마라21bb79ab,427
마라21bb79ba,83
마라21bb80bb,5
마라21bb81aa,6
마라21bb81ab,0
마라21bb82ba,0
마라21bb82bb,0
마라21bb83aa,0
마라21bb83ab,4
마라21bb83ba,6
마라21bb83bb,12
마라21bb84aa,0
마라21bb84ab,3
마라21bb84ba,325
마라21bb84bb,513
마라21bb85aa,151
마라21bb85ab,47
마라22aa70aa,0
마라22aa72bb,0
마라22aa73aa,0
마라22aa73ba,0
마라22aa73bb,0
마라22aa74aa,0
마라22aa75ab,29
마라22aa75ba,5
마라22aa75bb,3
마라22aa76aa,23
마라22aa76ab,75
마라22aa77ab,891
마라22aa77ba,1478
마라22aa77bb,424
마라22aa78aa,689
마라22aa78ab,870
마라22aa78ba,264
마라22aa78bb,192
마라22aa79aa,84
마라22aa79ab,171
마라22aa79ba,206
마라22aa80bb,4
마라22aa81aa,0
마라22aa82ab,0
마라22aa83ba,34
마라22aa83bb,56
마라22aa84aa,18
마라22aa84ab,18
마라22aa84ba,200
마라22aa84bb,142
마라22aa85aa,55
마라22aa85ab,0
마라22ab68bb,7
마라22ab70ab,0
마라22ab73ba,0
마라22ab73bb,4
마라22ab74aa,1
마라22ab75aa,42
마라22ab75ab,4
마라22ab75ba,12
마라22ab75bb,11
마라22ab76aa,1
마라22ab77ab,271
마라22ab77ba,241
마라22ab77bb,2006
마라22ab78aa,791
마라22ab78ab,178
마라22ab78ba,51
마라22ab78bb,194
마라22ab79aa,444
마라22ab79ab,77
마라22ab79ba,327
마라22ab79bb,336
마라22ab80aa,52
마라22ab80ab,0
마라22ab80ba,4
마라22ab80bb,478
마라22ab81aa,163
마라22ab82ab,0
마라22ab83ba,0
마라22ab83bb,11
마라22ab84aa,112
마라22ab84ab,21
마라22ab84ba,4
마라22ab84bb,222
마라22ab85aa,0
마라22ba74aa,2
마라22ba74ab,3
마라22ba75aa,1
마라22ba75ab,0
마라22ba75ba,0
마라22ba77ab,64
마라22ba77ba,27
마라22ba77bb,231
마라22ba78aa,68
마라22ba78ab,175
마라22ba78ba,104
마라22ba78bb,172
마라22ba79aa,61
마라22ba79ab,50
마라22ba79ba,0
마라22ba79bb,15
마라22ba80aa,0
마라22ba80ab,0
마라22ba80ba,3
마라22ba80bb,403
마라22ba81aa,892
마라22ba81ab,2
마라22ba82aa,55
마라22ba82ab,14
마라22ba83aa,0
마라22ba83ab,1
마라22ba83ba,5
마라22ba83bb,67
마라22ba84aa,21
마라22ba84ab,0
마라22ba84ba,6
마라22ba84bb,181
마라22bb74aa,1
마라22bb74ab,3
마라22bb74bb,0
마라22bb75aa,0
마라22bb75ba,0
마라22bb77ab,9
마라22bb77ba,25
마라22bb77bb,43
마라22bb78aa,112
마라22bb78ab,160
마라22bb78ba,114
마라22bb78bb,136
마라22bb79aa,14
마라22bb79ab,30
마라22bb79ba,0
마라22bb79bb,13
마라22bb80aa,3
마라22bb80ab,0
마라22bb80ba,0
마라22bb80bb,0
마라22bb81aa,1
마라22bb81ab,6
