,month,TIME,W_MAX
278,12월,14,101725
279,12월,15,100907
280,12월,16,94264
281,12월,17,82703
282,12월,18,55184
283,12월,19,36463
284,12월,20,28130
285,12월,21,20004
286,12월,22,18472
287,12월,23,13079
