,STD_YM,TIME,A_MAX
231,2019-04,15,368328
232,2019-04,16,373584
233,2019-04,17,379020
234,2019-04,18,386982
235,2019-04,19,387573
236,2019-04,20,388006
237,2019-04,21,388049
238,2019-04,22,376569
239,2019-04,23,366526
240,2019-05,0,346925
241,2019-05,1,343587
242,2019-05,2,341987
243,2019-05,3,339395
244,2019-05,4,336154
245,2019-05,5,332629
246,2019-05,6,329509
247,2019-05,7,330625
248,2019-05,8,340395
249,2019-05,9,353944
250,2019-05,10,359815
251,2019-05,11,362070
252,2019-05,12,365330
253,2019-05,13,364893
254,2019-05,14,360592
255,2019-05,15,354862
256,2019-05,16,359807
257,2019-05,17,361004
258,2019-05,18,359903
259,2019-05,19,354958
260,2019-05,20,353920
261,2019-05,21,350912
262,2019-05,22,350992
263,2019-05,23,348149
264,2019-06,0,348699
265,2019-06,1,344081
266,2019-06,2,343616
267,2019-06,3,341591
268,2019-06,4,339515
269,2019-06,5,337574
270,2019-06,6,334376
271,2019-06,7,334269
272,2019-06,8,337888
273,2019-06,9,355671
274,2019-06,10,359939
275,2019-06,11,358406
276,2019-06,12,359276
277,2019-06,13,359150
278,2019-06,14,356312
279,2019-06,15,351243
280,2019-06,16,353521
281,2019-06,17,356305
282,2019-06,18,359754
283,2019-06,19,353118
284,2019-06,20,353492
285,2019-06,21,353833
286,2019-06,22,350428
287,2019-06,23,348395
