,adm_dr_nm,val,lbl
0,광천동,31169.0,10678
1,금호1동,34487.0,23129
2,금호2동,17417.0,19422
3,농성1동,28048.0,11028
4,농성2동,9699.0,5693
5,동천동,13427.0,11749
6,상무1동,40226.0,22112
7,상무2동,33215.0,31297
8,서창동,55639.0,13403
9,양3동,5638.0,3804
10,양동,16989.0,7171
11,유덕동,53781.0,25350
12,치평동,39215.0,26941
13,풍암동,47043.0,36069
14,화정1동,13705.0,10214
15,화정2동,16375.0,22662
16,화정3동,12767.0,7229
17,화정4동,13052.0,11698
