,adm_dr_nm,val,lbl
0,송정동,30567.0,8665
1,우1동,35825.0,18529
2,우2동,68953.0,12555
3,우3동,20317.0,19496
4,중1동,57874.0,21583
5,중2동,14921.0,16065
