,month,TIME,H_MAX
278,12월,14,71619
279,12월,15,72158
280,12월,16,74050
281,12월,17,76815
282,12월,18,80351
283,12월,19,84503
284,12월,20,91190
285,12월,21,97611
286,12월,22,104346
287,12월,23,109871
